num_muestra,opc,LI,LS
126,OPINION_SI,97.67,97.93
126,OPINION_NO,1.5,1.67
126,NULOS,1.04,7.51
126,PART,7,7.43
127,OPINION_SI,97.48,97.88
127,OPINION_NO,1.47,1.83
127,NULOS,1.19,8.01
127,PART,6.87,7.27
128,OPINION_SI,97.59,97.98
128,OPINION_NO,1.42,1.71
128,NULOS,0,3.12
128,PART,6.82,7.2
129,OPINION_SI,97.7,97.96
129,OPINION_NO,1.45,1.63
129,NULOS,2.01,9.75
129,PART,6.89,7.25
130,OPINION_SI,97.3,97.9
130,OPINION_NO,1.44,1.63
130,NULOS,2.25,10.18
130,PART,6.91,7.36
131,OPINION_SI,97.67,97.93
131,OPINION_NO,1.45,1.62
131,NULOS,0.34,6.34
131,PART,6.82,7.17
132,OPINION_SI,97.81,98.06
132,OPINION_NO,1.4,1.63
132,NULOS,1.13,8.53
132,PART,6.89,7.26
133,OPINION_SI,97.83,98.08
133,OPINION_NO,1.38,1.53
133,NULOS,1.1,7.97
133,PART,6.92,7.26
134,OPINION_SI,97.52,97.93
134,OPINION_NO,1.46,1.8
134,NULOS,0.74,7.38
134,PART,6.93,7.35
135,OPINION_SI,97.27,97.95
135,OPINION_NO,1.46,1.67
135,NULOS,2.59,10.66
135,PART,6.97,7.31
136,OPINION_SI,97.77,98
136,OPINION_NO,1.44,1.59
136,NULOS,2.41,10.44
136,PART,6.97,7.36
137,OPINION_SI,97.51,97.93
137,OPINION_NO,1.46,1.73
137,NULOS,0,2.96
137,PART,6.91,7.34
138,OPINION_SI,97.33,97.79
138,OPINION_NO,1.57,1.95
138,NULOS,4.45,14.37
138,PART,6.79,7.09
139,OPINION_SI,97.71,98.02
139,OPINION_NO,1.42,1.66
139,NULOS,1.5,8.61
139,PART,7.04,7.47
140,OPINION_SI,97.77,98.01
140,OPINION_NO,1.41,1.6
140,NULOS,1.55,8.76
140,PART,7.05,7.4
141,OPINION_SI,97.8,98.02
141,OPINION_NO,1.43,1.59
141,NULOS,0.01,4.18
141,PART,6.8,7.13
142,OPINION_SI,97.74,97.97
142,OPINION_NO,1.47,1.63
142,NULOS,1.14,8.49
142,PART,6.84,7.22
143,OPINION_SI,97.72,97.93
143,OPINION_NO,1.51,1.66
143,NULOS,1.09,8.46
143,PART,6.86,7.2
144,OPINION_SI,97.38,97.9
144,OPINION_NO,1.48,1.92
144,NULOS,1.14,7.02
144,PART,6.89,7.21
145,OPINION_SI,97.19,97.79
145,OPINION_NO,1.5,1.68
145,NULOS,0.38,4.32
145,PART,6.92,7.26
146,OPINION_SI,97.69,97.99
146,OPINION_NO,1.44,1.69
146,NULOS,0.67,5.84
146,PART,6.97,7.41
147,OPINION_SI,96.45,98.15
147,OPINION_NO,1.43,1.61
147,NULOS,1.13,6.98
147,PART,6.95,7.34
148,OPINION_SI,96.39,98.09
148,OPINION_NO,1.5,1.67
148,NULOS,0.77,5.92
148,PART,6.92,7.3
149,OPINION_SI,97.59,97.97
149,OPINION_NO,1.45,1.78
149,NULOS,2.03,9.98
149,PART,6.89,7.27
150,OPINION_SI,97.89,98.08
150,OPINION_NO,1.4,1.56
150,NULOS,0.59,6.64
150,PART,6.94,7.32
151,OPINION_SI,97.57,97.95
151,OPINION_NO,1.47,1.72
151,NULOS,0.74,6.04
151,PART,6.95,7.31
152,OPINION_SI,97.7,98.08
152,OPINION_NO,1.38,1.54
152,NULOS,1.64,9.06
152,PART,6.89,7.22
153,OPINION_SI,97.06,97.86
153,OPINION_NO,1.39,1.81
153,NULOS,0.63,5.99
153,PART,7.09,7.54
154,OPINION_SI,97.71,97.99
154,OPINION_NO,1.42,1.56
154,NULOS,2.04,9.94
154,PART,6.83,7.13
155,OPINION_SI,97.52,97.96
155,OPINION_NO,1.43,1.7
155,NULOS,1.57,8.13
155,PART,6.98,7.3
156,OPINION_SI,97.49,97.96
156,OPINION_NO,1.44,1.61
156,NULOS,1.65,8.94
156,PART,6.8,7.17
157,OPINION_SI,97.69,97.91
157,OPINION_NO,1.48,1.65
157,NULOS,1.11,7.52
157,PART,6.93,7.24
158,OPINION_SI,97.66,97.96
158,OPINION_NO,1.46,1.72
158,NULOS,0.32,5.31
158,PART,6.9,7.25
159,OPINION_SI,97.73,97.95
159,OPINION_NO,1.48,1.64
159,NULOS,0.24,5.45
159,PART,7.13,7.57
160,OPINION_SI,97.78,98.01
160,OPINION_NO,1.45,1.63
160,NULOS,2.38,10.47
160,PART,7.05,7.5
161,OPINION_SI,97.71,97.97
161,OPINION_NO,1.44,1.61
161,NULOS,1.16,6.24
161,PART,7,7.35
162,OPINION_SI,97.22,97.84
162,OPINION_NO,1.5,2
162,NULOS,1.49,7.63
162,PART,7.08,7.41
163,OPINION_SI,97.65,97.93
163,OPINION_NO,1.46,1.69
163,NULOS,0.73,7.34
163,PART,6.84,7.18
164,OPINION_SI,97.51,97.89
164,OPINION_NO,1.46,1.66
164,NULOS,0.44,5.34
164,PART,6.8,7.18
165,OPINION_SI,97.7,97.96
165,OPINION_NO,1.46,1.66
165,NULOS,1.8,8.88
165,PART,6.92,7.29
166,OPINION_SI,97.64,97.9
166,OPINION_NO,1.46,1.61
166,NULOS,2.97,10.91
166,PART,6.91,7.32
167,OPINION_SI,97.71,98.05
167,OPINION_NO,1.4,1.57
167,NULOS,1.07,6.87
167,PART,6.97,7.38
168,OPINION_SI,97.65,97.94
168,OPINION_NO,1.46,1.64
168,NULOS,3,11.65
168,PART,6.74,7.11
169,OPINION_SI,97.67,98.1
169,OPINION_NO,1.34,1.5
169,NULOS,0.74,6.48
169,PART,7.13,7.58
170,OPINION_SI,97.64,97.9
170,OPINION_NO,1.52,1.7
170,NULOS,0.56,0.69
170,PART,6.87,7.23
171,OPINION_SI,97.59,97.92
171,OPINION_NO,1.47,1.62
171,NULOS,0.79,7.17
171,PART,7.05,7.43
172,OPINION_SI,96.55,98.26
172,OPINION_NO,1.43,1.61
172,NULOS,1.56,9.2
172,PART,6.88,7.26
173,OPINION_SI,97.25,97.81
173,OPINION_NO,1.48,1.81
173,NULOS,1.24,7.72
173,PART,6.91,7.28
174,OPINION_SI,97.37,97.82
174,OPINION_NO,1.56,1.99
174,NULOS,1.04,7.55
174,PART,6.92,7.34
175,OPINION_SI,97.73,98.05
175,OPINION_NO,1.4,1.58
175,NULOS,0.72,6.88
175,PART,6.89,7.29
176,OPINION_SI,97.43,97.95
176,OPINION_NO,1.44,1.61
176,NULOS,1.27,7.89
176,PART,6.94,7.37
177,OPINION_SI,97.59,98.01
177,OPINION_NO,1.38,1.53
177,NULOS,3.07,11.95
177,PART,7.07,7.53
178,OPINION_SI,97.7,97.93
178,OPINION_NO,1.49,1.67
178,NULOS,0,3.07
178,PART,6.92,7.31
179,OPINION_SI,97.87,98.06
179,OPINION_NO,1.42,1.57
179,NULOS,0.31,4.88
179,PART,6.91,7.23
180,OPINION_SI,97.77,98
180,OPINION_NO,1.44,1.61
180,NULOS,0.37,4.78
180,PART,6.96,7.34
181,OPINION_SI,97.68,97.95
181,OPINION_NO,1.45,1.6
181,NULOS,0.38,5.65
181,PART,6.85,7.22
182,OPINION_SI,97.74,98.06
182,OPINION_NO,1.4,1.55
182,NULOS,0,4.34
182,PART,6.95,7.29
183,OPINION_SI,97.53,97.96
183,OPINION_NO,1.43,1.67
183,NULOS,0.39,5.74
183,PART,7.02,7.41
184,OPINION_SI,97.68,98.01
184,OPINION_NO,1.39,1.61
184,NULOS,0.02,4.72
184,PART,6.84,7.23
185,OPINION_SI,97.76,97.98
185,OPINION_NO,1.47,1.63
185,NULOS,1.65,9.81
185,PART,6.81,7.15
186,OPINION_SI,95.69,98.45
186,OPINION_NO,1.44,1.62
186,NULOS,2.12,10.16
186,PART,7.02,7.45
187,OPINION_SI,97.56,97.94
187,OPINION_NO,1.49,1.73
187,NULOS,1.17,8.13
187,PART,7.06,7.42
188,OPINION_SI,97.61,97.99
188,OPINION_NO,1.42,1.64
188,NULOS,1.2,8.09
188,PART,6.92,7.28
189,OPINION_SI,97.74,97.95
189,OPINION_NO,1.49,1.65
189,NULOS,0.62,6.06
189,PART,6.74,7.08
190,OPINION_SI,96.58,98.27
190,OPINION_NO,1.4,1.56
190,NULOS,1.42,7.78
190,PART,6.91,7.32
191,OPINION_SI,97.67,97.93
191,OPINION_NO,1.48,1.64
191,NULOS,1.17,8.18
191,PART,6.89,7.22
192,OPINION_SI,97.69,97.99
192,OPINION_NO,1.46,1.67
192,NULOS,0.32,5.22
192,PART,6.91,7.33
193,OPINION_SI,97.61,97.97
193,OPINION_NO,1.42,1.62
193,NULOS,0.79,6.58
193,PART,7.02,7.35
194,OPINION_SI,97.74,97.99
194,OPINION_NO,1.43,1.6
194,NULOS,0.69,6.8
194,PART,6.84,7.16
195,OPINION_SI,97.81,98.09
195,OPINION_NO,1.37,1.55
195,NULOS,1.78,8.64
195,PART,6.99,7.51
196,OPINION_SI,97.64,98
196,OPINION_NO,1.43,1.69
196,NULOS,2.03,9.94
196,PART,6.9,7.24
197,OPINION_SI,97.9,98.1
197,OPINION_NO,1.41,1.55
197,NULOS,0,2.51
197,PART,6.95,7.36
198,OPINION_SI,97.52,97.93
198,OPINION_NO,1.42,1.62
198,NULOS,2.43,9.97
198,PART,6.94,7.32
199,OPINION_SI,97.6,98.03
199,OPINION_NO,1.39,1.71
199,NULOS,0.32,5.84
199,PART,7.17,7.61
200,OPINION_SI,97.58,97.95
200,OPINION_NO,1.46,1.63
200,NULOS,0.76,6.96
200,PART,6.81,7.14
